,word,sentence,last_practice,practiced_time,is_selected,weight
0,aujourd'hui,Aujourd'hui nous sommes lundi.,Last answered: 3 minutes ago,Practiced: 4 times,True,1
1,simple,C'est une question très simple.,Last answered: 3 minutes ago,Practiced: 3 times,True,1
2,vue,J'ai une bonne vue.,Last answered: 3 minutes ago,Practiced: 5 times,True,1
3,pays,C'est un beau pays.,Last answered: 3 minutes ago,Practiced: 4 times,True,1
4,chaque,Chaque chose en son temps.,Last answered: 4 minutes ago,Practiced: 15 times,True,1
5,ensemble,Nous sommes ensemble.,Last answered: 4 minutes ago,Practiced: 8 times,True,1
6,ta,Ta sœur est grande.,Last answered: 4 minutes ago,Practiced: 5 times,True,1
7,ma,Ma mère est petite.,Last answered: 4 minutes ago,Practiced: 3 times,True,1
8,temps,Le temps c'est de l'argent.,Last answered: 5 minutes ago,Practiced: 8 times,True,1
9,matin,Il est trois heures du matin.,Last answered: 5 minutes ago,Practiced: 11 times,True,1
10,commentaire,J'ai un commentaire à faire.,Last answered: 7 minutes ago,Practiced: 3 times,True,1
11,beau,Il est beau ton sac. – Merci !,Last answered: 7 minutes ago,Practiced: 4 times,True,1
12,le besoin,J'ai besoin de toi.,Last answered: 7 minutes ago,Practiced: 7 times,True,1
13,point,C'est une question de point de vue.,Last answered: 7 minutes ago,Practiced: 4 times,True,1
14,il continue,Il continue son travail.,Last answered: 8 minutes ago,Practiced: 4 times,True,1
15,ton,Ton frère est petit.,Last answered: 8 minutes ago,Practiced: 19 times,True,1
16,heureux,Ces enfants sont très heureux.,Last answered: 8 minutes ago,Practiced: 10 times,True,1
17,frère,C'est mon frère.,Last answered: 10 minutes ago,Practiced: 3 times,True,1
18,parents,Mes parents habitent loin.,Last answered: 10 minutes ago,Practiced: 3 times,True,1
19,formation,Sa formation dure trois mois.,Last answered: 10 minutes ago,Practiced: 10 times,True,1
20,jeunes,Mes enfants sont très jeunes.,Last answered: 11 minutes ago,Practiced: 12 times,True,1
21,fils,Son fils est encore petit.,Last answered: 11 minutes ago,Practiced: 8 times,True,1
22,nous avons,Nous avons deux enfants.,Last answered: 11 minutes ago,Practiced: 10 times,True,1
23,sa,Sa femme est heureuse.,Last answered: 11 minutes ago,Practiced: 9 times,True,1
24,équipe,Son équipe est grande.,Last answered: 12 minutes ago,Practiced: 9 times,True,1
25,sous,La clé est sous le tapis.,Last answered: 12 minutes ago,Practiced: 30 times,True,1
26,chambre,Ma chambre est toute petite.,Last answered: 13 minutes ago,Practiced: 7 times,True,1
27,heure,Il est une heure.,Last answered: 13 minutes ago,Practiced: 6 times,True,1
28,j'aide,J'aide mon père à la maison.,Last answered: 14 minutes ago,Practiced: 8 times,True,1
29,corps,Le corps a besoin d'eau.,Last answered: 14 minutes ago,Practiced: 7 times,True,1
30,elle donne,Elle donne des conseils.,Last answered: 15 minutes ago,Practiced: 11 times,True,1
31,choix,C'est votre choix ?,Last answered: 15 minutes ago,Practiced: 4 times,True,1
32,droit,Il étudie le droit.,Last answered: 15 minutes ago,Practiced: 6 times,True,1
33,ordre,C'est un ordre !,Last answered: 16 minutes ago,Practiced: 4 times,True,1
34,ils ont,Ils ont une grande famille.,Last answered: 21 minutes ago,Practiced: 11 times,True,1
